neighbourhood_cleansed,latitude,longitude,estimated_occupancy_l365d,room_type,property_type,accommodates,bedrooms,bathrooms,number_of_reviews,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_value,review_scores_location,availability_365,host_is_superhost,amenities,id,amenities_list,amenity_count,has_full_kitchen,has_laundry,has_parking,has_self_checkin,has_workspace,has_air_conditioning,has_outdoor_space,has_family_friendly,has_premium_leisure,has_view_or_water_access,allows_pets,has_entertainment,property_type_grouped
THIRD WARD,42.65789,-73.7537,0,Entire home/apt,Entire rental unit,4,2.0,1.0,9,0.06,0,3.56,3.67,3.22,321,f,"[""Smoke alarm"", ""Kitchen"", ""Air conditioning"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Heating"", ""Carbon monoxide alarm""]",2992450,"['Smoke alarm', 'Kitchen', 'Air conditioning', 'Essentials', 'TV with standard cable', 'Wifi', 'Heating', 'Carbon monoxide alarm']",8,1,0,0,0,0,1,0,0,0,0,0,1,Entire place
SIXTH WARD,42.65222,-73.76724,60,Entire home/apt,Entire rental unit,3,1.0,1.0,317,2.26,10,4.75,4.78,4.82,301,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Central air conditioning"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Smart lock"", ""Pets allowed"", ""HDTV with standard cable, Apple TV"", ""Oven"", ""Noise decibel monitors on property"", ""Essentials"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Stove""]",3820211,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Shower gel', 'Coffee maker', 'Hair dryer', 'Body soap', 'Carbon monoxide alarm', 'Cooking basics', 'Shampoo', 'Iron', 'Central air conditioning', 'Dedicated workspace', 'Microwave', 'Dining table', 'Heating', 'Smart lock', 'Pets allowed', 'HDTV with standard cable, Apple TV', 'Oven', 'Noise decibel monitors on property', 'Essentials', 'Conditioner', 'Free washer – In unit', 'Dishes and silverware', 'Free parking on premises', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free dryer – In unit', 'Stove']",33,1,1,1,1,1,1,0,0,0,0,1,1,Entire place
SECOND WARD,42.64615,-73.75966,120,Entire home/apt,Entire rental unit,2,0.0,1.0,389,2.96,20,4.51,4.63,4.76,35,f,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Ceiling fan"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Baking sheet"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Backyard"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Lockbox"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Stove""]",5651579,"['Smoke alarm', 'Kitchen', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Private entrance', 'Hair dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Luggage dropoff allowed', 'Cooking basics', 'Ceiling fan', 'Shampoo', 'Iron', 'Hot water kettle', 'Wine glasses', 'Baking sheet', 'Dedicated workspace', 'Microwave', 'Dining table', 'Heating', 'Long term stays allowed', 'Oven', 'Backyard', 'Air conditioning', 'Toaster', 'Essentials', 'Free washer – In unit', 'Dishes and silverware', 'Free parking on premises', 'Hangers', 'Refrigerator', 'Self check-in', 'Free street parking', 'Lockbox', 'Fire extinguisher', 'Free dryer – In unit', 'Stove']",40,1,1,1,1,1,1,1,0,0,0,0,1,Entire place
THIRTEENTH WARD,42.67198,-73.79339,0,Entire home/apt,Entire home,8,3.0,2.0,0,,0,,,,324,f,"[""Smoke alarm"", ""Kitchen"", ""Gas stove"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Room-darkening shades"", ""Wine glasses"", ""Free parking garage on premises"", ""Clothing storage"", ""Heating"", ""Stainless steel oven"", ""Washer"", ""EV charger - level 2"", ""Backyard"", ""Air conditioning"", ""Conditioner"", ""Self check-in"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Keypad""]",6015313,"['Smoke alarm', 'Kitchen', 'Gas stove', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Room-darkening shades', 'Wine glasses', 'Free parking garage on premises', 'Clothing storage', 'Heating', 'Stainless steel oven', 'Washer', 'EV charger - level 2', 'Backyard', 'Air conditioning', 'Conditioner', 'Self check-in', 'Refrigerator', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Free dryer – In unit', 'Keypad']",33,1,1,1,1,0,1,1,0,0,0,0,1,Entire place
SIXTH WARD,42.65222,-73.76724,6,Entire home/apt,Entire rental unit,2,1.0,1.0,332,2.55,1,4.73,4.72,4.8,348,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Washer"", ""Smart lock"", ""Extra pillows and blankets"", ""Pets allowed"", ""Oven"", ""Noise decibel monitors on property"", ""Air conditioning"", ""Patio or balcony"", ""Essentials"", ""Coffee"", ""Clothing storage: closet"", ""Conditioner"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Cleaning products"", ""Stove""]",6623339,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Private entrance', 'Hair dryer', 'Body soap', 'Dryer', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Shampoo', 'Iron', 'Wine glasses', 'TV with standard cable', 'Dedicated workspace', 'Microwave', 'Dining table', 'Heating', 'Washer', 'Smart lock', 'Extra pillows and blankets', 'Pets allowed', 'Oven', 'Noise decibel monitors on property', 'Air conditioning', 'Patio or balcony', 'Essentials', 'Coffee', 'Clothing storage: closet', 'Conditioner', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Cleaning products', 'Stove']",44,1,1,1,1,1,1,1,0,0,0,1,1,Entire place
SIXTH WARD,42.65559,-73.76506,78,Entire home/apt,Entire rental unit,4,1.0,1.0,623,5.37,13,4.79,4.77,4.87,16,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Pets allowed"", ""Oven"", ""Portable fans"", ""Essentials"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Fire extinguisher"", ""Keypad"", ""Stove""]",9005989,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Private entrance', 'Hair dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Shampoo', 'Microwave', 'Heating', 'Long term stays allowed', 'Pets allowed', 'Oven', 'Portable fans', 'Essentials', 'Laundromat nearby', 'Pack ’n play/Travel crib', 'Conditioner', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Free street parking', 'Fire extinguisher', 'Keypad', 'Stove']",33,1,1,1,1,0,1,0,1,0,0,1,1,Entire place
SECOND WARD,42.64734,-73.75851,228,Private room,Private room in rental unit,2,1.0,1.0,448,3.67,38,4.57,4.67,4.76,252,f,"[""Smoke alarm"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Iron"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Portable fans"", ""Essentials"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Lockbox""]",9501054,"['Smoke alarm', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Private entrance', 'Hair dryer', 'Mini fridge', 'Carbon monoxide alarm', 'Bed linens', 'Shampoo', 'Iron', 'TV with standard cable', 'Dedicated workspace', 'Microwave', 'Heating', 'Long term stays allowed', 'Portable fans', 'Essentials', 'Lock on bedroom door', 'Laundromat nearby', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Free street parking', 'Lockbox']",28,1,1,1,1,1,1,0,0,0,0,0,1,Private room
FOURTEENTH WARD,42.66078,-73.80553,255,Private room,Private room in guest suite,1,1.0,1.0,871,7.13,111,4.83,4.91,4.93,183,t,"[""Smoke alarm"", ""Ethernet connection"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Iron"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Patio or balcony"", ""Essentials"", ""Lock on bedroom door"", ""Single level home"", ""Free parking on premises"", ""Window AC unit"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Lockbox""]",10768745,"['Smoke alarm', 'Ethernet connection', 'Wifi', 'Hot water', 'Hair dryer', 'Carbon monoxide alarm', 'Bed linens', 'Shampoo', 'Iron', 'TV with standard cable', 'Dedicated workspace', 'Microwave', 'Heating', 'Patio or balcony', 'Essentials', 'Lock on bedroom door', 'Single level home', 'Free parking on premises', 'Window AC unit', 'Hangers', 'Refrigerator', 'Self check-in', 'Lockbox']",23,0,1,1,1,1,1,1,0,0,0,0,1,Private room
FIFTEENTH WARD,42.67567,-73.82438,255,Entire home/apt,Entire place,10,3.0,2.0,220,1.86,43,4.96,4.88,4.94,362,t,"[""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""GE stainless steel gas stove"", ""Luggage dropoff allowed"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Stainless steel oven"", ""Rice maker"", ""Pets allowed"", ""Exterior security cameras on property"", ""Toaster"", ""Coffee"", ""Window AC unit"", ""Sonos sound system with Bluetooth and aux"", ""Sun loungers"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Clothing storage: walk-in closet and wardrobe"", ""Ethernet connection"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Books and reading material"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Cleaning products"", ""Kitchen"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Private backyard \u2013 Not fully fenced"", ""Bed linens"", ""Bathtub"", ""Ceiling fan"", ""Baking sheet"", ""Safe"", ""BBQ grill"", ""Portable fans"", ""Outdoor furniture"", ""Self check-in"", ""Blender"", ""Babysitter recommendations"", ""Freezer"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Keypad"", ""High chair"", ""Outlet covers"", ""Smoke alarm"", ""Private patio or balcony"", ""Baby safety gates"", ""Body soap"", ""Fire pit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water kettle"", ""Dining table"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Garden view"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Barbecue utensils"", ""Baby bath"", ""Dishes and silverware"", ""Game console"", ""Board games"", ""Cleaning available during stay""]",11253948,"['Shower gel', 'Coffee maker', 'Hair dryer', 'GE stainless steel gas stove', 'Luggage dropoff allowed', '65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu', 'Stainless steel oven', 'Rice maker', 'Pets allowed', 'Exterior security cameras on property', 'Toaster', 'Coffee', 'Window AC unit', 'Sonos sound system with Bluetooth and aux', 'Sun loungers', 'Indoor fireplace: gas', 'Dishwasher', 'Clothing storage: walk-in closet and wardrobe', 'Ethernet connection', 'Outdoor dining area', 'Cooking basics', 'Iron', 'Room-darkening shades', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Heating', 'Long term stays allowed', 'Essentials', 'Books and reading material', 'Conditioner', 'Free washer – In unit', 'Free parking on premises', 'Hangers', 'Refrigerator', 'Fire extinguisher', 'Cleaning products', 'Kitchen', 'Wifi', 'Hot water', 'Private entrance', 'Private backyard – Not fully fenced', 'Bed linens', 'Bathtub', 'Ceiling fan', 'Baking sheet', 'Safe', 'BBQ grill', 'Portable fans', 'Outdoor furniture', 'Self check-in', 'Blender', 'Babysitter recommendations', 'Freezer', 'Free street parking', 'Free dryer – In unit', 'Keypad', 'High chair', 'Outlet covers', 'Smoke alarm', 'Private patio or balcony', 'Baby safety gates', 'Body soap', 'Fire pit', 'Carbon monoxide alarm', 'Shampoo', 'Hot water kettle', 'Dining table', 'Extra pillows and blankets', 'Drying rack for clothing', 'Laundromat nearby', 'Garden view', 'Pack ’n play/Travel crib', 'First aid kit', 'Barbecue utensils', 'Baby bath', 'Dishes and silverware', 'Game console', 'Board games', 'Cleaning available during stay']",80,1,1,1,1,1,1,1,1,0,1,1,1,Entire place
ELEVENTH WARD,42.67583,-73.78297,0,Private room,Private room in home,1,0.0,1.5,231,1.95,0,4.81,4.87,4.52,364,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Gas stove"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Shampoo"", ""Host greets you"", ""Safe"", ""Free dryer \u2013 In building"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Essentials"", ""Books and reading material"", ""Clothing storage: closet"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Free street parking"", ""Breakfast""]",11639446,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Gas stove', 'Wifi', 'Hot water', 'Hair dryer', 'Carbon monoxide alarm', 'Cooking basics', 'Shampoo', 'Host greets you', 'Safe', 'Free dryer – In building', 'Microwave', 'Heating', 'Long term stays allowed', 'Oven', 'Essentials', 'Books and reading material', 'Clothing storage: closet', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Free washer – In building', 'Free street parking', 'Breakfast']",28,1,1,1,0,0,0,0,0,0,0,0,1,Private room
